"{","Title=The Tenderfeet","Year=1949","Rated=N/A","Released=10 Nov 1949","Season=1","Episode=9","Runtime=30 min","Genre=Western","Director=George B. Seitz Jr."," Writer=Gibson Fox (screenplay), Polly James (screenplay), Fran Striker (radio play), George W. Trendle (creator)","Actors=Clayton Moore, Jay Silverheels, Ray Bennett, Rand Brooks","Plot=A murder is pinned on two cowboys who strike it rich, until the Lone Ranger traps the real killer.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BNzU3MzU1MjU3M15BMl5BanBnXkFtZTgwMDcxMjY2MjE@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=7.2/10}]","Metascore=N/A","imdbRating=7.2","imdbVotes=27","imdbID=tt0041951","seriesID=tt0041038","Type=episode","Response=True","}"
"{","Title=Number Three","Year=1953","Rated=N/A","Released=01 Feb 1953","Season=4","Episode=5","Runtime=80 min","Genre=Drama","Director=Stephen Harrison"," Writer=Charles Irving, George F. Kerr, Nigel Kneale","Actors=Philip Guard, Jack Watling, Ursula Howells, Terence Alexander","Plot=A group of nuclear scientists face a moral dilemma when they discover that as well as making electricity, their government also wants to make nuclear bombs with their products.","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0046135","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=Othello","Year=1953","Rated=N/A","Released=12 Feb 1953","Season=N/A","Episode=N/A","Runtime=84 min","Genre=Drama","Director=David Greene"," Writer=David Greene (adaptation), William Shakespeare (play)","Actors=Billie Bailey, Katharine Blake, Robert Christie, Richard Easton","Plot=N/A","Language=English","Country=Canada","Awards=N/A","Poster=N/A","Ratings=[Rating{Source=Internet Movie Database, Value=7.4/10}]","Metascore=N/A","imdbRating=7.4","imdbVotes=9","imdbID=tt0046150","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=A Christmas Carol","Year=1954","Rated=N/A","Released=23 Dec 1954","Season=1","Episode=4","Runtime=60 min","Genre=Family, Drama","Director=Ralph Levy"," Writer=Charles Dickens (story ""A Christmas Carol""), Maxwell Anderson (adaptation)","Actors=William Lundigan, Mary Costa, Fredric March, Basil Rathbone","Plot=A mean and miserly proprietor of a counting house in 1840's London is taken by ghosts to Christmas scenes of his youth, contemporary ones involving his family and employee, and lastly, a possible future holiday where he might be dead and forgotten, if he doesn't change his ways.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMTkxODAzMzQ3OV5BMl5BanBnXkFtZTYwNzU1MTI2._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=6.8/10}]","Metascore=N/A","imdbRating=6.8","imdbVotes=71","imdbID=tt0046855","seriesID=tt0046643","Type=episode","Response=True","}"
"{","Title=The Comedy of Errors","Year=1954","Rated=N/A","Released=16 May 1954","Season=5","Episode=20","Runtime=N/A","Genre=Drama","Director=Lionel Harris"," Writer=Robert McNab (adaptation), Titus Maccius Plautus (play), William Shakespeare (play)","Actors=Lally Bowers, James Cairncross, Gerald Cross, Paul Hansard","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0046864","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=All My Sons","Year=1958","Rated=N/A","Released=N/A","Season=N/A","Episode=N/A","Runtime=N/A","Genre=Comedy, Drama","Director=Cliff Owen"," Writer=Arthur Miller, Stanley Mann","Actors=Albert Dekker, Megs Jenkins, Simone Lovell, Patrick McGoohan","Plot=N/A","Language=N/A","Country=N/A","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0047810","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=Bamboo Cross","Year=1955","Rated=N/A","Released=06 Dec 1955","Season=1","Episode=15","Runtime=29 min","Genre=Drama","Director=John Ford"," Writer=Laurence Stallings, Sister Maria Del Rey (book)","Actors=Jane Wyman, James Hong, Kurt Katch, Betty Lynn","Plot=N/A","Language=English","Country=USA","Awards=N/A","Poster=N/A","Ratings=[Rating{Source=Internet Movie Database, Value=3.4/10}]","Metascore=N/A","imdbRating=3.4","imdbVotes=15","imdbID=tt0047852","seriesID=tt0047745","Type=episode","Response=True","}"
"{","Title=The Barretts of Wimpole Street","Year=1956","Rated=N/A","Released=02 Apr 1956","Season=2","Episode=8","Runtime=90 min","Genre=Drama, Musical, Comedy","Director=Vincent J. Donehue"," Writer=Rudolph Besier, Guthrie McClintic (adaptation)","Actors=Nancy Coleman, Katharine Cornell, Henry Daniell, Lisa Daniels","Plot=Elizabeth Barrett's tyrannical father has forbidden any of his family to marry. Nevertheless, Elizabeth falls in love with the poet Robert Browning.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMjE1OTM3MTEzMF5BMl5BanBnXkFtZTcwMDE0OTQ1MQ@@._V1_SX300.jpg","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0047858","seriesID=tt0046637","Type=episode","Response=True","}"
"{","Title=The Creature","Year=1955","Rated=N/A","Released=30 Jan 1955","Season=6","Episode=5","Runtime=90 min","Genre=Drama","Director=Rudolph Cartier"," Writer=Nigel Kneale","Actors=Peter Cushing, Stanley Baker, Eric Pohlmann, Simon Lack","Plot=A scientist searches for the Yeti in a Himalayan fastness, and is soon at odds with an adventurer who wants to find the Creature for less exalted reasons.","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[Rating{Source=Internet Movie Database, Value=8.8/10}]","Metascore=N/A","imdbRating=8.8","imdbVotes=12","imdbID=tt0047961","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=The Fifth Wheel","Year=1956","Rated=N/A","Released=09 Feb 1956","Season=2","Episode=20","Runtime=60 min","Genre=Drama","Director=Allen Reisner"," Writer=Leo Gallen (story), Whitfield Cook (adaptation)","Actors=Hume Cronyn, Peter Lorre, Bonita Granville, Arthur Treacher","Plot=N/A","Language=English","Country=USA","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0048067","seriesID=tt0046587","Type=episode","Response=True","}"
"{","Title=Life of Vernon Hathaway","Year=1955","Rated=N/A","Released=09 Nov 1955","Season=1","Episode=6","Runtime=30 min","Genre=Comedy, Drama, Romance","Director=Norman Z. McLeod"," Writer=Richard Wormser (story), Barbara Merlin","Actors=Alan Young, Cloris Leachman, Jay Novello, Douglass Dumbrille","Plot=A daydreaming man discovers that his imagined adventures are happening in real life.","Language=English","Country=USA","Awards=N/A","Poster=N/A","Ratings=[Rating{Source=Internet Movie Database, Value=6.3/10}]","Metascore=N/A","imdbRating=6.3","imdbVotes=25","imdbID=tt0048302","seriesID=tt0047768","Type=episode","Response=True","}"
"{","Title=The Merchant of Venice","Year=1955","Rated=N/A","Released=N/A","Season=N/A","Episode=N/A","Runtime=120 min","Genre=Drama","Director=Hal Burton"," Writer=William Shakespeare (play)","Actors=Raymond Westwell, Michael Hordern, Rachel Gurney, John Hayter","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0048371","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=The Miracle on 34th Street","Year=1955","Rated=PG","Released=14 Dec 1955","Season=1","Episode=6","Runtime=60 min","Genre=Drama","Director=Robert Stevenson"," Writer=John Monks Jr. (teleplay), George Seaton (based on a screenplay by), Valentine Davies (story), Valentine Davies (novel), John Monks Jr. (adaptation)","Actors=Macdonald Carey, Teresa Wright, Thomas Mitchell, Sandy Descher","Plot=One Kris Kringle, a department-store Santa Claus, causes quite a commotion by suggesting customers go to a rival store for their purchases. But this is nothing to the stir he causes by ...","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMTk0OTQ1MTk2MF5BMl5BanBnXkFtZTgwNjQwMTg5MjE@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=5.9/10}]","Metascore=N/A","imdbRating=5.9","imdbVotes=156","imdbID=tt0048378","seriesID=tt0047702","Type=episode","Response=True","}"
"{","Title=The Ox-Bow Incident","Year=1955","Rated=N/A","Released=N/A","Season=N/A","Episode=N/A","Runtime=1 h","Genre=Drama","Director=Gerd Oswald"," Writer=David Dortort, Lamar Trotti","Actors=Joseph Cotten, Wallace Ford, Hope Emerson, Robert Adler","Plot=N/A","Language=N/A","Country=N/A","Awards=N/A","Poster=N/A","Ratings=[Rating{Source=Internet Movie Database, Value=5.9/10}]","Metascore=N/A","imdbRating=5.9","imdbVotes=13","imdbID=tt0048462","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=Rookie of the Year","Year=1955","Rated=N/A","Released=07 Dec 1955","Season=1","Episode=10","Runtime=29 min","Genre=Comedy, Drama, Romance","Director=John Ford"," Writer=W.R. Burnett (story), Frank S. Nugent","Actors=John Wayne, Vera Miles, Ward Bond, Patrick Wayne","Plot=A reporter recognizes a hot young baseball player as the son of a former famous - and infamous - ballplayer who was accused of throwing the World Series.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BZWU4NTdjMmQtYmRiNC00NGU1LThkNzYtODJhZGRiMTdhMzdhXkEyXkFqcGdeQXVyMjcyMDU4NA@@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=6.9/10}]","Metascore=N/A","imdbRating=6.9","imdbVotes=119","imdbID=tt0048562","seriesID=tt0047768","Type=episode","Response=True","}"
"{","Title=The Makepeace Story #1: The Ruthless Destiny","Year=1955","Rated=N/A","Released=16 Oct 1955","Season=6","Episode=42","Runtime=90 min","Genre=Drama","Director=Tony Richardson"," Writer=Frank Tilsley, Vincent Tilsley","Actors=Patrick McGoohan, Marjorie Rhodes, Paul Eddington, Norman Pierce","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0048883","seriesID=tt0989125","Type=episode","Response=True","}"
"{","Title=Man in Space","Year=1955","Rated=N/A","Released=09 Mar 1955","Season=N/A","Episode=N/A","Runtime=51 min","Genre=Adventure, Biography, Drama, Family, Western","Director=Ward Kimball"," Writer=Ward Kimball, William Bosche","Actors=Dick Tufeld","Plot=With a combination of documentary footage and animation, the science and history of rockets, and the effects of space travel on man are illustrated.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMjA3NjAzMTQ3M15BMl5BanBnXkFtZTcwMjI2ODAyMQ@@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=8.3/10}]","Metascore=N/A","imdbRating=8.3","imdbVotes=113","imdbID=tt0049473","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=One","Year=1956","Rated=N/A","Released=N/A","Season=N/A","Episode=N/A","Runtime=1 h 30 min","Genre=Comedy, Drama","Director=Peter Graham Scott"," Writer=David Karp, John Letts","Actors=Jack May, Ruth Trouncer, Kenneth Hyde, Donald Pleasence","Plot=N/A","Language=N/A","Country=N/A","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0049572","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=Requiem for a Heavyweight","Year=1956","Rated=N/A","Released=11 Oct 1956","Season=1","Episode=2","Runtime=73 min","Genre=Comedy, Crime, Drama, Mystery, Romance, War","Director=Ralph Nelson"," Writer=Rod Serling","Actors=Jack Palance, Keenan Wynn, Kim Hunter, Ed Wynn","Plot=An over-the-hill heavyweight boxing champion who suffers from the ravages of years of head trauma is exploited by his manager, despite the efforts of a compassionate young woman who tries to help him recover his self-respect.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BNjk5Y2VlOTUtYmVkNy00NzZmLWJiNmUtZDcxODNmZTA5NWUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=8.7/10}]","Metascore=N/A","imdbRating=8.7","imdbVotes=195","imdbID=tt0049669","seriesID=tt0048893","Type=episode","Response=True","}"
"{","Title=Junior Miss","Year=1957","Rated=N/A","Released=20 Dec 1957","Season=1","Episode=4","Runtime=90 min","Genre=Comedy, Drama, History","Director=Ralph Nelson"," Writer=Jerome Chodorov (play), Joseph Fields (play), Will Glickman, Joseph Stein","Actors=Don Ameche, Joan Bennett, Paul Ford, Carol Lynley","Plot=A pretty teenager tries to solve her friend's and family's minor problems, but always makes things worse in the process. When she mistakenly believes that her father is having an affair with his boss's daughter, she tries to fix the young woman up with her uncle and manages to get her father fired in the bargain.","Language=English","Country=USA","Awards=N/A","Poster=N/A","Ratings=[Rating{Source=Internet Movie Database, Value=8.0/10}]","Metascore=N/A","imdbRating=8.0","imdbVotes=6","imdbID=tt0050031","seriesID=tt0050013","Type=episode","Response=True","}"
"{","Title=The Comedian","Year=1957","Rated=N/A","Released=14 Feb 1957","Season=1","Episode=20","Runtime=90 min","Genre=Comedy, Crime, Drama","Director=John Frankenheimer"," Writer=Ernest Lehman (novel), Rod Serling","Actors=Mickey Rooney, Kim Hunter, Edmond O'Brien, Mel Tormé","Plot=Sammy Hogarth, a vaudeville comedian who now has his own TV show, is a ruthless egomaniac who demands instant obedience from his staff and heaps abuse on those in lesser positions than his....","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BNjk5Y2VlOTUtYmVkNy00NzZmLWJiNmUtZDcxODNmZTA5NWUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=8.1/10}]","Metascore=N/A","imdbRating=8.1","imdbVotes=184","imdbID=tt0050259","seriesID=tt0048893","Type=episode","Response=True","}"
"{","Title=The Fourth Anniversary Show","Year=1957","Rated=UNRATED","Released=11 Sep 1957","Season=4","Episode=1","Runtime=60 min","Genre=Adventure, Biography, Drama","Director=Hamilton Luske, Sidney Miller, Clyde Geronimi"," Writer=Albert Duffy (teleplay), Dick Huemer (story)","Actors=Sharon Baird, Bobby Burgess, Lonnie Burr, Tommy Cole","Plot=The first half of this episode, in which Walt celebrates four years on TV, is about how Sergei Prokofieff's composition ""Peter and the Wolf"", which he played for Walt, convinced him to make a cartoon short based on this piece. After that, the second half involves the real celebration, in which the Mouseketeers from ""The Mickey Mouse Club"" question Walt on his plans for future shows and convinces the startled studio chief to give a special preview. One of the projects planned is a never made live-action film called ""Rainbow Road to Oz"".","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BNzEzMzQzMDc0Nl5BMl5BanBnXkFtZTcwMTk5ODczMQ@@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=7.8/10}]","Metascore=N/A","imdbRating=7.8","imdbVotes=28","imdbID=tt0050318","seriesID=tt0046593","Type=episode","Response=True","}"
"{","Title=Disturbance","Year=1958","Rated=N/A","Released=04 Jun 1958","Season=3","Episode=39","Runtime=90 min","Genre=Comedy, Drama","Director=N/A"," Writer=Hugh Forbes","Actors=Arthur Lowe, Patrick McGoohan, Jack Watling","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0050320","seriesID=tt0914702","Type=episode","Response=True","}"
"{","Title=The Life of Henry V","Year=1957","Rated=N/A","Released=29 Dec 1957","Season=1","Episode=1","Runtime=1,285 min","Genre=Drama","Director=Peter Dews"," Writer=William Shakespeare (play)","Actors=Michael Bates, Geoffrey Bayldon, Joby Blanshard, Tony Church","Plot=N/A","Language=English","Country=UK","Awards=N/A","Poster=N/A","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0050641","seriesID=tt4280482","Type=episode","Response=True","}"
"{","Title=Man in a Moon","Year=1957","Rated=N/A","Released=17 Nov 1957","Season=2","Episode=11","Runtime=60 min","Genre=Drama","Director=Stephen Clarkson"," Writer=Michael Pertwee","Actors=Keith Anderson, Bob Danvers Walker, Basil Dignam, Hilton Edwards","Plot=A convicted murderer is chosen by an obscure country with limited funds as their candidate to be the first man on the moon. Their reasoning being that they might be able to land him there.. but may not be able to bring him back?.","Language=English","Country=UK","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BYjZlZGE2ZWMtYjZmOS00Y2IwLWE5NjMtYTliYWY1ODQ1NzU1XkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0050678","seriesID=tt0161126","Type=episode","Response=True","}"
"{","Title=Mayerling","Year=1957","Rated=N/A","Released=04 Feb 1957","Season=3","Episode=6","Runtime=90 min","Genre=Drama, Musical, Comedy","Director=Kirk Browning, Anatole Litvak"," Writer=Claude Anet (based on the novel by: ""Idyll's End""), Irma von Cube (adapted by), Andrew McCullough (adapted by)","Actors=Audrey Hepburn, Mel Ferrer, Lorne Greene, Diana Wynyard","Plot=Mayerling is the name of a notorious Austrian village linked to a romantic tragedy. At a royal hunting lodge there, in 1889, Crown Prince Rudolf--desperate over his father's command to put ...","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMjE1OTM3MTEzMF5BMl5BanBnXkFtZTcwMDE0OTQ1MQ@@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=6.9/10}]","Metascore=N/A","imdbRating=6.9","imdbVotes=47","imdbID=tt0050695","seriesID=tt0046637","Type=episode","Response=True","}"
"{","Title=So Soon to Die","Year=1957","Rated=N/A","Released=17 Jan 1957","Season=1","Episode=16","Runtime=90 min","Genre=Comedy, Crime, Drama","Director=John Brahm"," Writer=Marc Brandel, Jeremy York (novel)","Actors=Richard Joy, Richard Basehart, Anne Bancroft, Sebastian Cabot","Plot=Down on his luck, war hero Lionel Amblin contemplates committing a murder.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMTI4ODY2NzMwOF5BMl5BanBnXkFtZTYwMDk5NjI2._V1_SX300.jpg","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0050988","seriesID=tt0048893","Type=episode","Response=True","}"
"{","Title=Cole Porter's 'Aladdin'","Year=1958","Rated=N/A","Released=N/A","Season=N/A","Episode=N/A","Runtime=1 h 30 min","Genre=Comedy, Drama, History, Romance","Director=Ralph Nelson"," Writer=S.J. Perelman","Actors=Dennis King, Anna Maria Alberghetti, Alec Clarke, George Hall","Plot=Cole Porter's version of the story of Aladdin--his only musical written especially for television","Language=N/A","Country=N/A","Awards=N/A","Poster=N/A","Ratings=[Rating{Source=Internet Movie Database, Value=2.5/10}]","Metascore=N/A","imdbRating=2.5","imdbVotes=9","imdbID=tt0051344","seriesID=N/A","Type=episode","Response=True","}"
"{","Title=Days of Wine and Roses","Year=1958","Rated=N/A","Released=02 Oct 1958","Season=3","Episode=2","Runtime=90 min","Genre=Comedy, Crime, Drama","Director=John Frankenheimer"," Writer=J.P. Miller","Actors=Cliff Robertson, Piper Laurie, Charles Bickford, Malcolm Atterbury","Plot=An alcoholic falls in love with and gets married to a young woman, whom he systematically addicts to booze so they can share his ""passion"" together.","Language=English","Country=USA","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BNjk5Y2VlOTUtYmVkNy00NzZmLWJiNmUtZDcxODNmZTA5NWUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Ratings=[Rating{Source=Internet Movie Database, Value=8.2/10}]","Metascore=N/A","imdbRating=8.2","imdbVotes=104","imdbID=tt0051523","seriesID=tt0048893","Type=episode","Response=True","}"
"{","Title=For I Have Loved Strangers","Year=1957","Rated=N/A","Released=N/A","Season=N/A","Episode=N/A","Runtime=1 h 30 min","Genre=Comedy, Crime, Drama, Mystery, Romance, War, Western","Director=Franklin J. Schaffner"," Writer=Elick Moll, Don Murray","Actors=Robert Flemyng, Hedda Hopper, Werner Klemperer, Hope Lange","Plot=N/A","Language=N/A","Country=N/A","Awards=N/A","Poster=https://m.media-amazon.com/images/M/MV5BMTI4ODY2NzMwOF5BMl5BanBnXkFtZTYwMDk5NjI2._V1_SX300.jpg","Ratings=[]","Metascore=N/A","imdbRating=N/A","imdbVotes=N/A","imdbID=tt0051625","seriesID=N/A","Type=episode","Response=True","}"
